,Borough,No of new start-ups,No of new start-ups per sq km,Survival rate %,No of micro businesses,Micro business %,No of small businesses ,No of Coffee Shops,No of Office,No of Park,rating,Clus_Borough
0,"Barking , Dagenham",1310,36,33.3,4785,91.8,355,23,1.0,0.8846153846153846,6.809523809523809,1
1,Barnet,3985,45,37.6,19445,93.2,1205,30,1.5789473684210527,1.0,7.148148148148148,1
2,Bexley,1455,24,43.8,6930,91.3,545,22,1.0476190476190477,0.7333333333333333,6.76,0
3,Brent,2585,59,37.4,12035,91.5,925,26,0.8666666666666667,0.8666666666666667,7.111111111111111,1
4,Bromley,2190,14,41.7,12360,91.9,885,25,1.1363636363636365,1.0416666666666667,6.9411764705882355,1
5,Camden,4375,200,38.6,22340,87.2,2520,30,1.0,1.0,6.869565217391305,2
6,City of London,2610,898,36,13370,80.6,2380,28,0.9333333333333333,0.9333333333333333,6.818181818181818,2
7,Croydon,2390,27,39.3,11850,92,830,27,0.9642857142857143,0.9,6.933333333333334,1
8,Ealing,3110,55,40.2,14560,91.9,1060,27,0.9,0.9,7.2592592592592595,1
9,Enfield,2305,28,37.4,10530,92,765,26,1.368421052631579,1.04,7.25,1
10,Greenwich,1690,35,40.8,7475,92.7,500,21,0.7,0.7,6.592592592592593,0
11,Hackney,3245,170,43,13295,90.3,1205,28,0.9333333333333333,0.9333333333333333,6.862068965517241,1
12,"Hammersmith , Fulham",2380,145,36.5,10770,89.3,1000,17,0.5666666666666667,0.5666666666666667,6.884615384615385,0
13,Haringey,2190,73,39.6,9910,93.1,650,18,0.6,0.6,6.888888888888889,0
14,Harrow,2390,47,41.9,11530,93.1,715,25,1.1363636363636365,0.8333333333333334,6.642857142857143,1
15,Havering,1485,13,38.7,7765,91.1,615,27,1.2272727272727273,0.9,7.37037037037037,1
16,Hillingdon,2075,17,39.8,10195,89.5,860,27,0.9,0.9,7.214285714285714,1
17,Hounslow,2320,41,39.7,10815,91.2,785,25,0.8333333333333334,0.8333333333333334,7.035714285714286,1
18,Islington,3715,250,40.5,14645,87.9,1630,28,0.9333333333333333,0.9333333333333333,6.863636363636363,1
19,"Kensington , Chelsea",2165,178,40.3,11020,88.8,1150,28,0.9333333333333333,0.9333333333333333,7.222222222222222,1
20,Kingston,1270,34,42,7060,91.3,540,28,1.0,0.9333333333333333,7.071428571428571,1
21,Lambeth,5570,207,38.8,16505,93.8,905,29,0.9666666666666667,0.9666666666666667,7.64,1
22,Lewisham,1870,53,38.3,8070,94,445,29,1.0740740740740742,0.9666666666666667,6.8076923076923075,1
23,Merton,1995,53,37.3,9415,92.1,670,27,1.0,0.9,6.586206896551724,1
24,Newham,2365,65,35,7915,92.7,525,27,0.9,0.9,6.92,1
25,Redbridge,2580,45,36.4,10825,93.5,655,26,1.0833333333333333,0.896551724137931,6.642857142857143,1
26,Richmond,1985,34,44.6,11510,92.5,765,27,0.9,0.9,7.233333333333333,1
27,Southwark,2930,101,38.2,12295,86.7,1490,27,0.9,0.9,7.291666666666667,1
28,Sutton,1185,27,44.1,6810,91.8,500,28,1.4736842105263157,0.9333333333333333,6.72,1
29,Tower Hamlets,3460,174,36.2,12985,89.9,1145,25,0.8333333333333334,0.8333333333333334,6.962962962962963,1
30,Waltham Forest,2100,54,37.9,8285,93,530,22,0.7586206896551724,0.7333333333333333,7.111111111111111,0
31,Wandsworth,3055,89,40.8,14755,93.2,895,23,0.7666666666666667,0.7666666666666667,7.346153846153846,0
32,Westminster,8245,383,34.8,38650,83.9,5860,24,0.8,0.8,7.3478260869565215,2
